studentId,class
1,7F
2,2V
3,3E
4,6G
5,11F
6,10T
7,5Z
8,6B
9,8R
10,5A
11,1Q
12,3X
13,2R
14,3S
15,10W
16,3V
17,9P
18,9U
19,3V
20,7B
21,9U
22,4C
23,2L
24,11O
25,12Y
26,7T
27,8L
28,5J
29,8L
30,10M
31,12E
32,6U
33,7W
34,12H
35,10C
36,2C
37,9M
38,9C
39,7J
40,3Q
41,2P
42,7F
43,8U
44,11Y
45,1K
46,7M
47,11Z
48,7Y
49,3I
50,3G
51,12X
52,4L
53,12K
54,10B
55,8L
56,10U
57,11O
58,11X
59,6V
60,5F
61,6V
62,1L
63,3Z
64,11H
65,7O
66,8S
67,12T
68,12Y
69,7M
70,7D
71,10Y
72,4P
73,12W
74,8K
75,11Z
76,11K
77,5T
78,1H
79,7U
80,8R
81,4R
82,12O
83,7H
84,6H
85,6C
86,9G
87,4B
88,4B
89,11S
90,2D
91,4Z
92,5M
93,2X
94,4Y
95,1B
96,1O
97,8F
98,9O
99,12N
100,11T
101,8L
102,5B
103,5Q
104,9V
105,9L
106,12A
107,2X
108,12C
109,6J
110,8J
111,1S
112,7Q
113,5I
114,7W
115,8J
116,12S
117,7V
118,8P
119,4H
120,6A
121,7J
122,4R
123,4P
124,12F
125,12R
126,2J
127,8Y
128,1C
129,3F
130,4O
131,9T
132,12N
133,5W
134,12C
135,7E
136,1A
137,12W
138,2H
139,1M
140,7F
141,7M
142,8U
143,11L
144,10P
145,2O
146,6O
147,6M
148,8E
149,9J
150,7G
151,5Z
152,9M
153,3Q
154,8Y
155,2A
156,10W
157,10N
158,8Y
159,10B
160,6Q
161,10N
162,10R
163,6D
164,4Y
165,4V
166,8P
167,3L
168,7C
169,8P
170,5M
171,3U
172,11N
173,9Y
174,3D
175,1M
176,8F
177,4I
178,11S
179,2N
180,6U
181,7W
182,12X
183,7P
184,9N
185,9V
186,7X
187,2C
188,10K
189,9B
190,9I
191,2V
192,8X
193,2P
194,9M
195,2D
196,12F
197,3P
198,11O
199,8U
200,5L
201,10O
202,2L
203,2R
204,2X
205,5I
206,12U
207,7A
208,8H
209,6E
210,8L
211,3Q
212,4J
213,6V
214,2S
215,3O
216,11Q
217,8Z
218,3S
219,12U
220,9J
221,2F
222,11I
223,5R
224,8B
225,4P
226,1D
227,6F
228,1W
229,1R
230,4P
231,9G
232,11S
233,11Z
234,3A
235,1D
236,6K
237,7J
238,7E
239,4K
240,7C
241,7N
242,11W
243,8Q
244,6Y
245,9S
246,12E
247,10D
248,6U
249,12V
250,12Y
251,9C
252,10K
253,2Z
254,11J
255,4O
256,10Q
257,10E
258,11Z
259,3V
260,9K
261,9F
262,2K
263,7R
264,11O
