"invoice_id","supplier_name","category","invoice_date","status","amount_usd","comment"
"INV-919046"," Helios Robotix ","Cloud"," 2024-01-04"," Approved","$8,995.21","pending shipping confirmation; cost center 100 "
"INV-120925"," Lumen Analytics","Professional Services","2024-07-08","Pending "," $8,047.97 ","match to PO required; cost center 118"
"INV-131956"," Astra-Supplies"," Facility ","2024-04-02 ","Approved","$4,589.44 "," vendor submitted via portal; cost center 106"
"INV-808911"," Vertex Log. ","Logistics ","2024-09-25","Approved "," $4,867.73","requires VAT documentation; cost center 110"
"INV-803763","VertexLogistics ","Professional Services","2024-03-25 "," On Hold ","$7,503.36"," match to PO required; cost center 100 "
"INV-631604","VertexLogistics "," Hardware "," 2024-06-07 ","Approved","$1,729.37"," requires VAT documentation; cost center 108"
"INV-982771","Helios Robotix "," Software "," 2024-03-08"," On Hold","USD 2, 514.48","pending shipping confirmation; cost center 112 "
"INV-606377"," Zenith Components ","Professional Services "," 2024-05-23"," Approved","USD 2,430.53","requires VAT documentation; cost center 111"
"INV-750856"," Astra-Supplies","Cloud ","2024-08-07 ","Pending"," $8,038.16 ","requires VAT documentation; cost center 117"
"INV-836417","Novapackaging "," Hardware","2024-01-19 "," Approved"," $8,258.12 ","price variance escalated; cost center 117"
"INV-443107"," NovaPack "," Cloud"," 2024-06-01"," Rejected","USD 5, 785.31","three-way match complete; cost center 103 "
"INV-858670"," Zenith-Components "," Hardware ","2024-08-18 ","Approved"," USD 8, 587.75 ","three-way match complete; cost center 100 "
"INV-350410"," HELIOS ROBOTICS"," Facility "," 2024-01-16","On Hold"," $9,042.56"," match to PO required; cost center 104 "
"INV-123398","LumenAnalytic"," Cloud"," 2024-02-25","Rejected ","USD 6,350.08"," price variance escalated; cost center 109 "
"INV-855375","Astra Supplies ","Facility ","2024-04-07"," Approved"," $4,052.82 ","requires VAT documentation; cost center 110 "
"INV-141055","ZenithComponents","Logistics ","2024-05-15 "," Approved"," $1,341.19 ","price variance escalated; cost center 117"
"INV-552592"," ZenithComponents"," Professional Services"," 2024-08-25 ","Approved"," USD 4, 721.88 "," requires VAT documentation; cost center 110"
"INV-832171","Nova Packg. ","Professional Services"," 2024-06-20"," Approved ","$5,886.01 ","vendor submitted via portal; cost center 115 "
"INV-885168","Lumen Analytics"," Facility ","2024-03-03"," Approved ","$3,743.30 ","three-way match complete; cost center 107 "
"INV-391409","Astra Spp","Software "," 2024-05-15 "," Pending "," $7,129.39 "," requires VAT documentation; cost center 103"
"INV-391409","Astra Supplies"," Software","2024-05-15"," Pending "," $7,129.39 "," duplicate submit; consolidate in close process "
"INV-736199"," Zenith Comp.","Facility ","2024-06-12 "," Approved"," $7,404.58"," vendor submitted via portal; cost center 104 "
"INV-907370","Vertex Logistics"," Professional Services ","2024-07-21 ","Pending","$3,534.27","pending shipping confirmation; cost center 111 "
"INV-300017"," Nova Packaging"," Professional Services ","2024-07-12","Pending"," $2,896.88"," price variance escalated; cost center 108 "
"INV-300017","NovaPack","Professional Services "," 2024-07-12 "," Pending "," $2,896.88","duplicate submit; consolidate in close process "
"INV-255759","Zenith Comp."," Facility"," 2024-03-24","On Hold"," USD 9,159.34 "," pending shipping confirmation; cost center 113"
"INV-286527"," Helios-Robotics ","Professional Services","2024-08-21"," Approved "," $7,078.34 ","requires VAT documentation; cost center 119"
"INV-396837","Astra-Supplies ","Cloud "," 2024-09-19 "," On Hold "," $1,050.31 "," pending shipping confirmation; cost center 114"
