Delivery_ID,Latitude,Longitude,Weight_Kg
D001,30.2593,76.2268,29
D002,29.3502,77.51,57
D003,19.2266,82.7606,97
D004,28.3657,78.5164,58
D005,8.7142,96.7228,71
D006,27.5135,79.5204,76
D007,27.4507,86.0162,99
D008,26.8337,75.4191,12
D009,31.0706,78.7957,73
D010,29.744,92.0271,77
D011,30.7382,90.7604,73
D012,32.8424,89.2946,36
D013,26.9749,86.3628,17
D014,27.3832,78.066,34
D015,13.6906,76.5701,30
D016,26.1263,71.814,44
D017,30.3564,74.7786,80
D018,19.4852,73.5868,24
D019,28.39,74.9115,93
D020,13.0293,86.3273,50
D021,12.8488,73.7922,21
D022,15.6765,79.7165,49
D023,24.3492,82.7232,47
D024,29.0913,78.9942,59
D025,15.3698,87.2902,61
D026,34.31,77.6151,70
D027,10.1139,94.4444,61
D028,23.6201,79.3938,78
D029,23.1111,72.4425,71
D030,30.9517,76.1526,90
D031,20.3796,89.1421,23
D032,9.2583,94.6038,48
D033,30.0833,76.6992,50
D034,33.1506,70.4627,56
D035,10.4258,95.3396,36
D036,21.7608,75.8403,15
D037,32.5001,78.9948,78
D038,31.6182,89.0964,89
D039,25.9008,79.6958,46
D040,15.1597,72.166,97
D041,22.1077,86.9274,17
D042,11.5007,69.0517,36
D043,16.2283,74.2633,97
D044,17.2658,74.032,83
D045,32.2027,77.8681,36
D046,22.3557,89.2741,13
D047,31.6068,73.9683,90
D048,28.5019,77.4504,64
D049,25.816,76.3364,49
D050,17.3162,89.5302,24
