order_id,latitude,longitude
ORD-001,28.661841,77.308657
ORD-002,28.688329,77.133631
ORD-003,28.551985,77.198176
ORD-004,28.540207,77.345426
ORD-005,28.723638,77.197154
ORD-006,28.707128,77.317283
ORD-007,28.581228,77.352077
ORD-008,28.655917,77.286691
ORD-009,28.52343,77.150618
ORD-010,28.656969,77.1404
ORD-011,28.534666,77.204827
ORD-012,28.549423,77.194025
ORD-013,28.616249,77.271344
ORD-014,28.665385,77.319964
ORD-015,28.692209,77.21294
ORD-016,28.605953,77.310441
ORD-017,28.729451,77.226411
ORD-018,28.537586,77.229008
ORD-019,28.61858,77.190125
ORD-020,28.621286,77.321266
ORD-021,28.61387,77.210109
ORD-022,28.577228,77.298703
ORD-023,28.534211,77.288872
ORD-024,28.654079,77.147022
ORD-025,28.616224,77.234789
ORD-026,28.543886,77.191573
ORD-027,28.621811,77.342026
ORD-028,28.653719,77.133964
ORD-029,28.701532,77.205767
ORD-030,28.550998,77.325535
ORD-031,28.611017,77.234469
ORD-032,28.672323,77.299184
ORD-033,28.661446,77.210932
ORD-034,28.61351,77.280887
ORD-035,28.581839,77.15165
ORD-036,28.630351,77.298794
ORD-037,28.576371,77.221967
ORD-038,28.566795,77.240408
ORD-039,28.572699,77.304652
ORD-040,28.521556,77.157614
ORD-041,28.571432,77.258131
ORD-042,28.713188,77.305793
ORD-043,28.576124,77.202604
ORD-044,28.575681,77.163196
ORD-045,28.516389,77.233769
ORD-046,28.625712,77.239785
ORD-047,28.704928,77.340226
ORD-048,28.536214,77.284146
ORD-049,28.600826,77.343551
ORD-050,28.63929,77.246036
