Region,Week,Units_Sold,Unit_Price,Revenue
South,5,1490,31.41,46800.9
South,14,1786,31.66,56544.76
East,1,1896,26.87,50945.52
West,24,1662,20.51,34087.62
North,12,948,25.35,24031.8
West,14,1651,21.51,35513.01
West,5,1105,21.73,24011.65
West,20,1402,22.36,31348.72
North,1,578,26.54,15340.12
North,13,917,26.6,24392.2
East,16,2035,27.26,55474.1
North,10,838,25.37,21260.06
East,11,1674,27.03,45248.22
South,9,1428,31.54,45039.12
North,9,884,25.52,22559.68
East,22,1734,27.95,48465.3
West,7,1254,21.52,26986.08
North,8,813,25.45,20690.85
West,18,1470,21.46,31546.2
West,3,1529,22.4,34249.6
North,14,940,26.53,24938.2
East,24,1860,28.06,52191.6
East,14,2031,26.53,53882.43
North,4,891,26.87,23941.17
East,19,1784,27.45,48970.8
East,6,1683,26.36,44363.88
East,3,2057,26.3,54099.1
East,7,1716,26.33,45182.28
West,1,1380,21.81,30097.8
South,19,1474,31.04,45752.96
South,4,1502,31.15,46787.3
South,18,1772,31.74,56243.28
West,19,1311,20.52,26901.72
North,17,1000,26.6,26600
North,23,1062,26.36,27994.32
South,7,1642,31.33,51443.86
East,18,1872,26.7,49982.4
South,13,1650,31.18,51447
South,6,1413,31.23,44127.99
East,8,1708,26.61,45449.88
West,12,1408,20.66,29089.28
South,26,1861,32.06,59663.66
South,12,1653,32.17,53177.01
North,16,1096,25.64,28101.44
West,2,1268,20.73,26285.64
South,2,1517,31.33,47527.61
East,2,1897,27.49,52148.53
West,15,1481,20.78,30775.18
South,8,1407,31.2,43898.4
West,6,1351,20.48,27668.48
South,20,1626,31.97,51983.22
East,20,1755,26.4,46332
East,21,1680,27.49,46183.2
East,12,1759,28.03,49304.77
North,11,881,25.66,22606.46
West,17,1629,21.69,35333.01
West,22,1410,20.75,29257.5
West,11,1407,20.92,29434.44
South,17,1848,31.94,59025.12
North,6,931,25.35,23600.85
South,22,1507,31.16,46958.12
North,7,830,26.8,22244
West,21,1594,21.92,34940.48
South,23,1561,31.81,49655.41
East,5,2079,27.37,56902.23
South,21,1506,30.92,46565.52
South,1,1541,31.5,48541.5
North,18,1005,27.1,27235.5
East,15,2178,27.62,60156.36
South,25,1969,31.16,61354.04
North,20,917,26.47,24272.99
North,22,990,25.73,25472.7
East,17,1976,27.5,54340
West,10,1192,21.14,25198.88
North,19,945,26.23,24787.35
East,10,1641,28.1,46112.1
South,24,1904,32.14,61194.56
East,13,2012,26.25,52815
North,24,1023,25.43,26014.89
North,5,1003,25.93,26007.79
East,23,1883,26.21,49353.43
North,25,1264,25.89,32724.96
North,21,933,25.65,23931.45
West,23,1582,21.94,34709.08
West,8,1064,21.46,22833.44
North,15,1107,27.06,29955.42
West,4,1279,21.03,26897.37
West,9,1256,20.73,26036.88
East,26,2171,26.97,58551.87
West,25,1550,22.05,34177.5
West,26,1806,20.72,37420.32
North,26,1300,26.79,34827
South,11,1531,30.56,46787.36
East,9,1623,27.12,44015.76
East,4,1954,28.19,55083.26
South,15,1798,31.01,55755.98
North,2,874,26.4,23073.6
East,25,2024,26.84,54324.16
South,10,1425,30.68,43719
West,13,1500,21.4,32100
South,16,1858,30.97,57542.26
West,16,1725,21.47,37035.75
North,3,983,26.87,26413.21
South,3,1674,30.9,51726.6
