trip_id,driver_id,start_time,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,fare_amount
TRIP-07478,DRV-040,2024-06-24T04:32:42.168Z,14.990333,79.688056,14.974742,79.712857,8.82
TRIP-34843,DRV-082,2024-06-16T11:40:21.195Z,15.030868,79.789377,15.002284,79.782155,10.15
TRIP-39290,DRV-034,2024-06-15T16:28:20.095Z,15.087403,79.752898,15.099876,79.733823,8.91
TRIP-42926,DRV-065,2024-06-01T03:08:22.347Z,15.015268,79.801715,15.006084,79.813199,7.16
TRIP-32093,DRV-097,2024-06-11T18:39:23.623Z,15.04493,79.817397,15.095223,79.869286,16.96
TRIP-43984,DRV-014,2024-06-20T02:41:37.917Z,14.97766,79.794525,14.930296,79.866761,18.61
TRIP-11177,DRV-067,2024-06-14T05:53:56.129Z,15.114502,79.760414,15.11242,79.73362,8.73
TRIP-33281,DRV-016,2024-06-06T08:08:59.455Z,15.135018,79.622641,15.13178,79.611599,5.74
TRIP-30890,DRV-011,2024-06-16T13:53:02.660Z,15.110476,79.63359,15.063243,79.677364,17.46
TRIP-23775,DRV-001,2024-06-02T13:59:17.115Z,15.040825,79.655997,15.043182,79.633703,9.02
TRIP-24366,DRV-039,2024-06-04T18:53:22.395Z,15.056264,79.775549,15.031954,79.795847,11.46
TRIP-27941,DRV-075,2024-06-11T05:00:27.467Z,15.032771,79.818879,15.044519,79.823128,7.31
TRIP-26913,DRV-013,2024-06-04T00:53:38.533Z,15.078801,79.781798,15.073334,79.794698,6.17
TRIP-09908,DRV-031,2024-06-08T13:02:37.910Z,15.120261,79.735901,15.106656,79.749409,7.43
TRIP-20676,DRV-051,2024-06-08T18:49:12.368Z,15.105456,79.66011,15.127421,79.66968,8.89
TRIP-20449,DRV-090,2024-06-24T23:10:52.221Z,15.128391,79.815104,15.129563,79.832877,8.8
TRIP-43479,DRV-047,2024-06-08T03:32:27.773Z,15.093047,79.761982,15.063741,79.792425,12.48
TRIP-06061,DRV-057,2024-06-06T22:44:09.131Z,15.072488,79.765742,15.088872,79.762832,6.34
TRIP-17847,DRV-009,2024-06-29T03:59:47.057Z,15.031293,79.657661,15.01678,79.669425,8.19
TRIP-16382,DRV-039,2024-06-13T23:12:52.309Z,15.124731,79.635369,15.131055,79.626659,6.31
TRIP-48735,DRV-063,2024-06-06T18:00:01.680Z,15.095926,79.719275,15.109249,79.724645,7.11
TRIP-25825,DRV-056,2024-06-06T20:47:01.093Z,15.153494,79.629545,15.133196,79.571629,14.77
TRIP-04632,DRV-017,2024-06-13T09:21:09.541Z,14.958844,79.70056,14.947351,79.723947,7.03
TRIP-04009,DRV-065,2024-06-27T19:25:18.209Z,15.035911,79.798075,15.093753,79.792691,15.24
TRIP-34707,DRV-091,2024-06-05T20:03:01.203Z,14.967239,79.771117,14.935945,79.785215,8.31
TRIP-10334,DRV-095,2024-06-30T20:08:06.115Z,15.099466,79.766436,15.068178,79.780489,12.33
TRIP-37227,DRV-093,2024-06-01T11:11:10.296Z,15.10238,79.684575,15.051625,79.59931,22.06
TRIP-32742,DRV-097,2024-06-09T17:51:39.658Z,15.08819,79.672434,15.059841,79.596848,21.07
TRIP-08065,DRV-040,2024-06-11T21:28:19.728Z,15.026762,79.660849,15.048513,79.686919,10.19
TRIP-35092,DRV-057,2024-06-16T19:42:43.875Z,15.005618,79.662187,14.996786,79.668183,7.22
TRIP-47313,DRV-077,2024-06-09T15:07:09.170Z,15.088438,79.631512,15.01143,79.658576,20.38
TRIP-28544,DRV-018,2024-06-26T01:34:49.485Z,15.05893,79.683016,15.053318,79.734723,15.96
TRIP-43057,DRV-077,2024-06-01T21:03:30.176Z,15.011733,79.694209,14.993394,79.692979,9.11
TRIP-30424,DRV-012,2024-06-10T04:52:43.259Z,15.132414,79.637842,15.123385,79.629384,6.52
TRIP-27609,DRV-014,2024-06-02T14:24:25.289Z,14.992008,79.695773,15.006383,79.703596,6.37
TRIP-08850,DRV-087,2024-06-28T14:45:50.145Z,15.085189,79.788425,15.177625,79.729887,18.8
TRIP-07345,DRV-011,2024-06-19T20:09:36.303Z,14.993289,79.821169,14.976992,79.814922,6.55
TRIP-36806,DRV-096,2024-06-28T01:37:11.388Z,15.098653,79.769585,15.085706,79.738266,9.25
TRIP-09416,DRV-093,2024-06-02T18:18:22.325Z,15.09771,79.803457,15.103413,79.826478,9.13
TRIP-16421,DRV-037,2024-06-28T20:23:28.147Z,15.126217,79.721675,15.110366,79.657521,15.75
TRIP-06085,DRV-082,2024-06-26T15:35:16.110Z,15.094607,79.753175,15.088827,79.73418,6.27
TRIP-38587,DRV-096,2024-06-11T04:35:19.697Z,15.142271,79.772327,15.156186,79.783745,6.75
TRIP-21034,DRV-089,2024-06-11T20:24:11.670Z,14.973712,79.748413,14.981941,79.75468,6.99
TRIP-10075,DRV-018,2024-06-25T05:01:30.914Z,15.115099,79.807371,15.118774,79.780452,9.21
TRIP-23699,DRV-029,2024-06-02T22:43:26.289Z,15.007285,79.78183,15.040791,79.775175,10.05
TRIP-12242,DRV-028,2024-06-18T20:48:16.938Z,14.988278,79.701095,14.965692,79.690579,9.46
TRIP-15586,DRV-058,2024-06-16T23:49:54.560Z,15.15039,79.754162,15.133502,79.74813,5.3
TRIP-47645,DRV-023,2024-06-24T10:35:16.208Z,15.04102,79.673628,15.055258,79.712576,11.87
TRIP-02140,DRV-028,2024-06-24T20:21:05.034Z,15.138648,79.641935,15.122187,79.685561,11.09
TRIP-09044,DRV-025,2024-06-22T12:55:15.052Z,15.08726,79.62169,15.095472,79.501513,27.19
TRIP-38697,DRV-007,2024-06-25T08:35:58.452Z,14.972199,79.755169,14.961342,79.792976,10.32
TRIP-37184,DRV-039,2024-06-29T05:39:41.514Z,15.026513,79.750337,15.046107,79.754567,8.52
TRIP-29915,DRV-099,2024-06-11T21:19:15.229Z,15.023664,79.636567,15.054267,79.678041,14.73
TRIP-21869,DRV-038,2024-06-17T10:45:27.234Z,15.018088,79.666228,14.924183,79.629352,25.17
TRIP-49394,DRV-076,2024-06-14T02:01:23.795Z,15.062287,79.734676,15.043796,79.721031,8.51
TRIP-37683,DRV-075,2024-06-02T13:28:02.211Z,15.012756,79.704205,14.984219,79.761428,15.06
TRIP-03267,DRV-017,2024-06-13T02:26:42.701Z,15.148899,79.748222,15.148547,79.71861,10.6
TRIP-19905,DRV-054,2024-06-08T23:25:03.029Z,15.071255,79.635036,14.989168,79.872221,44.99
TRIP-15247,DRV-084,2024-06-15T11:16:38.053Z,15.031144,79.814151,14.981515,79.71699,22.8
TRIP-45078,DRV-059,2024-06-01T09:36:53.093Z,15.057498,79.795231,15.07852,79.779039,10.17
TRIP-05176,DRV-064,2024-06-17T12:11:30.818Z,14.991343,79.723629,14.987251,79.710393,6.62
TRIP-11156,DRV-047,2024-06-04T23:56:32.668Z,15.08568,79.760466,15.07732,79.753283,5.28
