Study_Hours,Sleep_Hours,Screen_Time,Attendance_Percent,Exam_Score
8.2,5.8,0,94.8,83.5
4.5,7.2,0,76,74.5
7.5,5.5,1.3,95.4,82.7
6.1,7.6,0,72.5,83.9
5.1,7.7,0,100,71.9
2.6,8,0,79.3,54.6
6.2,5.9,0.4,82.6,87
3.2,8.4,0,82.1,67.6
6.3,6.5,0,65.6,67.5
9.6,6.8,0,86,100
4.2,8,0,82.6,71.7
8.8,5.6,1.8,80.2,89.1
7.2,7.5,0,80.1,82.3
5.8,6.1,0,92.1,82.7
6.3,6.5,0,80,77.9
9.8,7.4,0,97.4,89.3
3.2,7,0,82.6,71.7
8.5,9.1,0,79.5,90.7
8.4,7.6,0,82.1,88.8
4.9,7.4,0,83.8,73.5
9.2,6,0,93,93.9
4.6,5.8,2.5,75.8,69
4.1,6.6,0,70.7,68
4.1,6,0.4,70.2,73.1
7.9,6.3,0,98.2,83.3
6.4,7.9,0.3,65.9,80.4
4.4,7.6,0,82.1,72.3
7,9,0,83,91.9
8.2,9.7,0,87.9,90.9
2.5,5.8,0,56.9,61
2.7,8,0,77.3,66
2.1,5.9,0,76.3,61.8
3.3,6,0,72.5,63.5
6.8,8.3,0,88.8,79.4
3.7,6.4,1.2,79.3,63.4
9.1,5.7,0,94.8,96.1
9.1,7.3,0.1,77.3,93
5,6.7,0,80.3,73.5
6.9,6,0,80.3,84.7
9.2,6.4,0.4,98.2,85.9
4.6,9.5,0,90.9,66.9
3,7.9,0,65.5,64.5
2.3,5.8,0.6,78.9,57
7.9,9.4,0,94.4,84.4
6.2,7.2,0,86.5,80.2
3.4,4.7,1.2,66.4,74.7
8.4,7.6,0,100,86.9
9.1,8.1,0,78,99.7
6.9,6.8,0,80.7,77.3
3.2,6.3,0,73.2,62.2
3.2,6.8,1.2,80.9,60.2
9.3,9,0,74.3,100
2.1,6.6,0,63.4,60.2
6.1,5.7,0,73.3,81.2
8.2,7.8,0,71.4,86.2
7.1,7.1,0,82.2,79.6
4.7,7.8,0,90.3,76
5.6,8.2,0,75.3,78.5
7.9,8.2,0,79.8,81.9
9.2,7.4,0,95.5,98.5
7.4,6,0,67.5,82.3
6.9,7.5,0.3,80.4,82.7
3.3,5.7,0,71.9,68.8
5.1,6.4,0,74.9,77.6
3.1,5.9,2,75.5,61.3
4.4,7.5,0,72.8,76.4
5.2,6.6,0,83.4,71.5
5.3,6.1,0,79.4,74.2
3.8,7.3,0,81,57.8
5.8,7,0,77.2,87.4
6.4,7.5,0,84.2,72.2
4.1,6.7,0,75.7,72.3
2.3,7.6,0,58.9,66.1
5.4,7.9,0,78.4,76.3
8.1,7,0.3,77.1,87.3
6.4,9.2,0,70.3,85.1
6.2,7.2,0,81.3,81.2
7.2,7,0,94.8,93.6
8.1,6.7,0,87.8,85.2
8.7,6.3,0,85.6,100
4.6,4.5,4.7,75.3,72.3
4,7.3,0,98.1,66.4
4.5,7.3,0,82.8,74.9
9.6,6.4,0,89.7,99.1
8.5,4.6,1,81.3,90.5
7.4,4.7,2.2,79.1,90.3
3.5,7.8,0,72.2,64.4
2.3,5.4,0,81.6,47.8
5.6,7.2,0,88.4,75.8
5.8,7.6,0,75.4,80.8
8.6,7,0,77.8,97.2
2.5,7.1,0,70.4,61.5
6.6,5.5,1.3,86.5,86.3
6.4,6.5,0,81.4,77.6
6.4,7.3,0,62.8,82.2
5.8,7.3,0,86.7,81.7
9.7,6,0,98.7,99.6
6.3,6.6,2.2,76.6,81.3
4,8.3,0,81.7,66.8
8.2,8.5,0,78.2,91.9
9.6,6.3,2.9,100,100
8.9,7.2,0,80.6,87.2
2.9,6.5,0,81.1,65.3
4.9,6.2,0,77.2,76.7
7.1,7.5,0,80.5,83.7
2.6,6.8,0,90.8,73.1
2.9,6.6,0,83.7,64.7
9.6,5.6,0,82.4,93.7
3.4,7.9,0,62.6,69.4
6,5.2,2.8,85.5,90.2
2.8,9.5,0,80.3,62.8
9.9,7.3,0,80.6,99.9
5.7,6.4,0,64.6,81.6
5.2,6.4,0,91.9,75.4
9.4,7,0,86.2,98.2
8.8,8.7,0,97,86.9
7,6.5,0,97.6,85
3,6.7,0,68.6,62.7
3,7.5,0,67.6,54.4
5.1,6.3,0,71.4,77.9
