Area_SqFt,Bedrooms,Age_Years,Distance_City_Center_Km,Price
2876,4,33,5.4,546740.78
1674,4,38,10.4,353243.09
1334,5,38,19.1,287590.95
2374,5,35,4.5,485215.98
1930,4,25,11.6,400470.29
2393,3,38,1.3,487878.41
2676,4,15,17.6,494210.89
2638,1,18,17,467672.2
2862,3,24,4,555924.44
2276,1,25,1.7,455132.09
2517,3,5,12.7,477595.58
2239,4,40,11.7,435928.82
2186,1,19,17.6,398609.35
961,4,29,8.5,252524.76
1676,3,8,17.6,361330.98
951,1,18,13.9,210177.83
1494,1,27,18.8,297295.69
2593,1,8,5.4,472181.25
1628,3,10,2.5,368823.18
2302,2,18,18.4,409155.5
1031,3,20,14.9,236472.12
1523,3,29,11.2,309226.73
1400,4,7,7.1,339468.1
2447,2,13,18,438749.9
1500,2,10,11.2,352359.26
1138,3,7,16,244634.09
1271,4,13,2,330574.9
2530,3,11,7.4,486912.09
2376,5,33,1.8,475107.3
887,2,25,6.1,224546.68
1879,4,28,11.4,381979.29
1457,5,23,5.1,353733.28
788,1,0,17.7,194908.55
1736,5,36,9,356898.56
953,3,31,4.7,272152.43
1571,4,36,4.2,320087.21
1607,2,25,6.9,334932.19
1459,3,4,8.1,340102.02
1073,3,21,18.7,255244.26
1186,1,30,14.3,263370.5
1861,2,13,2.1,388874.31
2334,2,13,1.8,449017.41
1878,5,11,7.7,389867.22
2223,1,2,1.2,430804.03
767,1,21,11.8,220453.48
751,3,4,7,228294.29
2364,1,23,5.3,453843.16
2035,3,37,14.2,395150.07
1085,1,21,19.2,221635.94
1890,2,5,7.1,396427.88
2387,2,33,8.5,423890.17
1357,3,16,19.7,313726.88
1181,3,12,10,273500.43
2211,1,36,6,426113.45
2121,2,27,15.6,392002.01
2653,4,36,7.5,523274.82
2789,1,2,10.1,509183.81
1221,2,29,11.7,239279.22
2433,1,1,6.7,485268.61
780,4,31,19.1,199909.68
2177,4,34,13,425272.73
2787,1,21,6.5,515373.59
869,2,31,3.2,234330.59
1736,4,25,14.3,355174.41
1819,1,27,2.2,384509.99
2869,5,17,2.5,562979.69
2606,3,38,1.1,517391.55
993,3,11,4.9,269408.58
1157,1,25,14.3,229647.32
1972,1,5,14.4,383235.92
2061,3,39,18.5,386725.91
1352,5,30,10.3,312976.78
2961,3,8,1.2,575339.32
2536,4,18,11.7,485615.53
1120,1,14,15.4,233304.36
1737,3,12,3.4,388646.85
1374,5,14,5.3,343863.56
958,1,33,14.1,209824.78
1698,4,30,2.4,365561.13
704,4,19,13.4,218084.37
614,5,2,14.3,217885
2893,5,31,5.9,571865.45
1073,1,31,2.6,251936.11
1412,1,36,15.1,302046.08
1304,3,8,8.9,295788.3
2676,2,22,14.3,481566.42
2725,2,26,19.2,464942.97
2393,3,0,3.6,456433.12
2714,2,11,12.1,496475.54
1534,3,8,13.5,327928.68
961,5,12,6.4,270614.74
1775,4,33,2.8,385525.98
1667,2,7,16.5,325699.96
876,1,26,6.9,231274.03
1685,3,19,8.2,339778.97
2499,5,1,12,474623.45
1789,3,30,11.9,338807.35
735,5,10,7.7,243950.58
2545,2,16,7.9,470578.67
1326,3,32,2.6,322436.45
2004,1,5,14,377574.68
1673,1,30,11.8,319091.59
1675,5,15,13.5,358338.35
2540,1,21,16.4,440556.97
1783,4,5,8.1,386019.18
2630,1,12,15.1,463264.46
1047,3,21,8.7,257801.5
1975,3,27,3.6,405875.66
756,3,33,2.9,248176.27
2610,5,27,4.3,521047.56
2049,4,29,9.1,411739.82
1172,3,36,10.9,273754.48
1668,4,18,14.9,348559.48
916,3,36,6,214307.16
2084,1,33,11.3,402909.36
1032,1,31,13.2,198818.71
1486,2,39,2.9,329941.07
675,2,30,16.7,181601.53
2021,2,1,12.1,402523.37
1256,4,18,8,307132.06
2019,4,22,1.6,435061.27
2028,5,14,18.6,379317.11
1326,3,36,16.2,290603.77
2963,2,5,9.2,564298.2
2294,3,3,10.4,456733.81
2084,2,16,9.2,395418.84
1490,1,38,13.6,304800.89
937,5,27,6,249600.66
2988,1,2,18.4,536042.68
2764,1,11,8,534220.7
1392,4,23,12,319607.21
657,3,38,5.8,158233.15
1307,1,7,4.9,310317.29
1543,5,18,4.3,358842.2
1135,5,27,15.9,250115.7
1388,1,9,8.3,306629.96
2299,3,33,17.8,419996.58
2106,4,2,17.1,430955.64
1186,2,23,2.5,291090.87
2325,4,20,6.2,505218.19
767,3,40,6.1,240078.96
2048,3,25,19.9,401325.38
2412,1,22,18.4,400801.06
652,1,13,12.2,188109.8
984,3,32,6.2,243340.18
1420,2,26,11.5,321004.14
1333,2,25,14.7,289254.16
1596,5,20,18.2,342215.08
1925,3,23,7.9,408564.03
820,5,3,12,232261.26
2047,2,14,4.1,430420.37
2269,2,1,8.7,457087.48
2250,1,23,3.7,450120.02
2342,3,27,16.2,451885.12
2679,1,26,4.9,503008.82
2935,5,30,9.8,535797.71
726,5,1,2.7,227617.22
2897,2,16,18.6,501213.62
1426,2,32,2.5,327097.76
1837,2,21,8.1,387076.08
2987,5,29,16.4,544796.5
1191,3,31,17.5,244040.78
693,2,31,17.6,178080.92
2718,4,39,10.8,492039.3
1874,3,10,8.8,381837.1
1161,4,36,6.8,296364.22
2676,1,11,13.8,452959.83
873,1,33,19.4,189155.8
1450,4,7,16,313468.4
1928,1,20,10.8,386821.79
2254,1,37,13.1,417899.41
940,4,21,14.4,220255.81
2136,2,17,16.2,383584.74
1248,1,12,9.9,286520.31
1790,1,18,14.2,345522.19
2830,5,23,3.4,573472.7
2469,5,39,2,486892.65
868,2,5,12.4,229409.7
2002,3,14,7.8,408645.55
2674,3,22,7.8,499806.98
988,1,17,17.8,207215.4
2629,4,17,12.7,516444.12
2608,4,19,6.6,520910.86
1448,5,21,14.8,297587.89
924,5,23,12.2,238827.93
2642,4,11,15.9,493280.24
2115,2,34,6.2,416530.79
1968,1,4,5.9,397845.56
804,4,29,18.6,203314.56
1080,1,23,8.7,248518.61
1327,4,10,5.8,313638.11
1274,2,22,19.8,252688.01
2816,2,9,17.3,519807.67
2183,5,39,15.8,393845.4
1225,1,0,10.6,276365.94
2648,5,28,2.3,528286.56
2641,3,0,14.2,478903.99
741,3,37,17.7,178772.47
1337,4,32,14,274969.61
1141,3,39,18.4,220951.2
