Store_ID,Latitude,Longitude,Monthly_Revenue
S001,13.1019,70.5923,341378
S002,14.247,86.1612,323676
S003,14.9061,90.2813,370308
S004,28.9417,74.0708,458614
S005,25.9849,84.2578,418682
S006,8.2429,76.0751,323887
S007,9.1198,85.2117,284616
S008,26.1735,70.4952,450340
S009,30.7232,76.5375,515164
S010,22.2798,74.9935,469244
S011,21.0996,93.3207,363141
S012,31.0554,69.4947,425857
S013,25.1938,86.9318,465031
S014,25.5476,80.2143,510329
S015,9.2113,82.7862,289412
S016,25.7649,70.4862,429881
S017,34.9994,79.5811,413192
S018,31.3131,84.0622,436515
S019,18.2162,70.3009,426306
S020,19.2148,81.0434,379256
S021,31.4619,70.8295,423768
S022,33.6184,79.7064,489053
S023,31.5976,85.259,437809
S024,18.9886,81.3469,412415
S025,18.1941,88.8936,294625
S026,33.1731,91.8928,372663
S027,8.7998,76.7455,291731
S028,34.8844,74.336,465519
S029,8.7825,88.7061,251971
S030,13.6116,74.0412,434094
