age,income,education,hours_per_week,label
19,46737.13,phd,29,0
27,60867.07,high_school,56,1
57,74436.53,associate,31,0
18,108442.86,phd,18,0
67,51456.91,high_school,49,0
43,116621.06,masters,14,1
22,64257.22,bachelors,36,0
62,101082.88,high_school,35,0
68,21694.96,associate,11,1
58,28057.08,masters,21,1
59,65756.08,masters,36,0
44,107840.26,high_school,45,1
21,48616.71,associate,44,1
51,89665.83,associate,18,0
23,57246.4,high_school,13,1
61,118790.07,bachelors,17,0
21,116388.14,masters,29,0
48,23980.87,bachelors,19,1
22,50707.49,bachelors,36,1
29,72615.46,high_school,13,0
30,112605.35,associate,40,0
30,56483.29,associate,29,0
58,43496.62,phd,46,0
28,94780.32,bachelors,10,0
38,80196.39,bachelors,60,0
42,74042.03,phd,50,0
24,35212.08,associate,45,0
43,39502.7,associate,21,0
49,55880.68,bachelors,44,0
35,74504.12,high_school,45,1
23,80156.75,phd,49,1
33,63982.81,masters,59,1
32,49298.68,bachelors,15,1
19,36607.62,phd,47,1
51,19641.43,masters,47,1
19,68269.15,bachelors,46,1
70,55974.52,phd,57,1
41,44381.82,high_school,44,1
48,22598.02,bachelors,21,0
28,78741.48,phd,60,0
30,58061.12,masters,19,0
57,22349.43,bachelors,48,1
56,46429.27,bachelors,35,1
40,114314.17,phd,17,0
69,118220.24,high_school,56,0
35,23011.89,phd,31,1
54,111651.96,high_school,26,1
48,55355.78,phd,56,1
70,73565.56,phd,16,0
48,94722.5,associate,40,0
50,104513.09,associate,37,1
54,55495.86,bachelors,14,1
59,107370.6,masters,28,1
42,80938.24,associate,31,1
57,30703.21,associate,45,1
36,109533.67,masters,14,1
48,26110.53,bachelors,44,0
30,90904.56,high_school,34,0
40,36709.72,masters,57,1
48,110672.45,phd,23,1
47,25983.0,masters,50,0
46,55165.73,high_school,40,1
60,108416.1,high_school,59,0
62,75517.15,phd,13,1
60,77620.19,phd,21,0
37,69323.27,masters,50,0
40,46265.94,phd,28,1
66,72190.0,associate,53,0
25,32460.18,associate,57,0
57,110676.34,bachelors,36,0
58,88518.02,associate,21,1
18,78145.17,phd,55,1
40,23941.88,high_school,21,0
20,28884.18,phd,43,1
19,100370.58,masters,57,1
67,113972.29,high_school,21,0
62,95426.54,phd,58,1
19,117052.09,high_school,21,1
35,24128.21,masters,23,0
36,76537.49,masters,48,1
45,75623.76,high_school,52,1
66,106454.02,phd,18,0
62,85702.78,high_school,42,0
25,57158.23,masters,59,1
43,25016.43,associate,14,1
60,111139.66,bachelors,38,0
55,23114.91,phd,10,0
28,69361.83,masters,15,0
36,94774.16,bachelors,14,0
55,31713.49,high_school,50,1
63,28395.71,masters,28,0
21,92437.2,phd,12,1
38,59941.67,phd,15,1
19,48634.25,associate,37,1
43,86955.4,associate,14,1
38,71014.65,high_school,38,0
40,75412.41,high_school,32,0
27,57036.19,masters,33,1
38,114609.7,associate,59,1
60,68522.67,masters,41,1
53,81348.73,bachelors,16,0
37,28803.77,bachelors,46,1
32,75377.62,masters,31,1
25,42382.9,phd,22,0
67,60177.3,masters,17,0
55,29051.67,masters,56,1
66,112829.57,bachelors,31,0
23,115570.54,masters,42,0
59,117590.22,masters,24,1
45,83001.96,associate,34,0
38,21586.3,masters,10,0
43,47092.35,associate,35,1
47,103244.73,masters,30,1
69,94929.06,masters,57,0
70,76691.81,associate,18,0
22,92279.33,phd,45,0
35,56483.91,phd,33,0
65,61456.42,masters,43,1
20,59830.57,associate,26,1
55,77731.02,bachelors,48,1
30,69504.65,associate,58,0
20,36617.15,high_school,31,0
62,117268.8,high_school,12,0
63,108110.03,bachelors,11,0
37,60519.54,high_school,41,0
59,36624.42,phd,32,1
28,109327.51,phd,27,0
53,110832.81,high_school,48,0
46,56225.47,phd,57,0
65,55168.8,phd,25,0
65,32711.79,masters,54,0
24,79978.89,masters,29,1
21,60446.47,high_school,28,1
34,93126.92,masters,10,0
49,58133.3,phd,24,1
32,89827.97,masters,46,1
64,56440.53,bachelors,22,0
70,63318.36,high_school,58,0
67,28875.78,high_school,44,1
18,77598.66,phd,25,0
32,42956.91,high_school,50,0
55,25101.05,phd,13,1
51,59574.88,phd,54,1
24,24864.96,associate,57,0
26,52566.39,masters,26,1
43,67091.51,bachelors,53,1
25,89022.51,bachelors,20,1
26,26636.48,bachelors,33,1
44,112369.56,phd,49,0
18,37564.08,bachelors,59,0
39,105087.39,masters,32,1
52,61972.07,bachelors,39,1
38,95447.56,phd,38,0
40,58703.33,high_school,47,0
42,52353.89,masters,24,1
57,49828.8,phd,56,1
32,72353.59,associate,52,0
58,28094.12,masters,15,1
19,61620.93,associate,58,0
34,46476.1,bachelors,28,0
30,38430.8,phd,16,1
67,66310.83,bachelors,40,0
39,44339.13,associate,49,1
22,113830.15,associate,59,0
43,30206.04,phd,32,0
40,71745.24,high_school,25,1
22,92762.63,phd,33,0
42,74326.01,high_school,22,1
39,32305.31,high_school,40,1
34,111803.15,phd,33,1
63,63878.18,bachelors,56,1
45,102974.21,high_school,55,0
63,72084.37,masters,49,1
27,29926.1,associate,53,0
45,70518.09,high_school,52,1
51,106552.03,masters,19,1
53,95544.51,phd,54,0
29,52650.39,masters,29,1
60,105746.4,associate,57,0
43,84438.64,phd,54,0
26,94976.92,bachelors,46,1
57,16523.26,masters,19,0
63,45855.17,associate,40,1
45,105805.64,masters,45,0
53,85107.24,bachelors,52,0
60,118032.55,masters,33,1
53,49147.06,associate,42,1
44,67742.55,phd,22,0
20,45916.47,high_school,27,0
48,119433.28,high_school,19,1
60,107960.9,masters,52,0
26,115669.07,high_school,38,0
64,30703.43,phd,37,1
18,77423.31,masters,20,1
47,87696.53,phd,20,1
38,93534.71,masters,30,1
33,83857.75,masters,37,0
64,90869.49,phd,53,0
43,67449.15,masters,38,1
47,86307.05,bachelors,48,0
58,96781.65,bachelors,50,1
34,116691.34,masters,36,0
56,74118.7,associate,35,1
56,70322.77,masters,59,1
22,75235.67,masters,41,0
31,82774.68,bachelors,16,0
22,119261.77,phd,59,0
66,38867.97,bachelors,14,0
69,42378.5,bachelors,59,0
20,42218.08,high_school,10,0
67,97828.15,masters,40,1
49,22431.26,high_school,58,1
24,60092.95,phd,19,1
62,41834.46,bachelors,25,0
37,101572.26,bachelors,37,0
34,96140.92,phd,22,1
63,51286.5,associate,50,0
19,37019.08,phd,27,0
51,81341.7,masters,40,1
49,105057.94,associate,43,1
24,73311.07,phd,49,1
62,117920.69,masters,38,1
37,83446.82,associate,28,1
40,53665.78,masters,42,0
36,116553.61,bachelors,30,0
40,58163.79,masters,21,1
36,83009.34,bachelors,56,1
66,63797.5,phd,25,1
34,91013.45,high_school,24,1
69,21308.48,high_school,19,0
25,55883.5,masters,17,0
