id,value_a,value_b,score,category
R0001,71.58,301.25,14.92,A
R0002,47.25,236.99,77.04,B
R0003,120.54,311.66,44.73,A
R0004,-20.18,430.15,41.42,A
R0005,27.69,27.59,94.0,C
R0006,150.64,149.15,31.99,B
R0007,19.65,336.2,35.77,B
R0008,1.14,458.96,108.42,A
R0009,150.31,,90.27,C
R0010,153.32,87.34,74.87,B
R0011,43.71,168.42,10.14,A
R0012,130.42,375.26,22.39,B
R0013,,215.92,61.57,D
R0014,120.58,130.56,49.69,A
R0015,-2.7,183.3,101.41,C
R0016,93.83,482.31,103.37,D
R0017,118.52,477.04,97.79,A
R0018,55.23,28.74,52.39,D
R0019,176.84,42.77,77.01,B
R0020,164.08,,95.41,A
R0021,35.1,435.8,71.86,B
R0022,177.06,152.4,43.17,D
R0023,168.36,157.45,81.13,D
R0024,-17.54,382.91,9.27,D
R0025,86.81,69.74,87.86,C
R0026,169.04,309.27,6.98,D
R0027,100.99,101.04,86.59,C
R0028,181.61,342.58,63.59,B
R0029,145.21,131.4,78.4,C
R0030,94.48,409.27,35.31,A
R0031,48.93,25.08,44.9,B
R0032,77.54,440.24,46.25,B
R0033,138.78,,0.76,A
R0034,102.7,319.7,107.88,D
R0035,36.17,,65.46,B
R0036,153.33,1.84,98.56,B
R0037,94.01,,64.17,C
R0038,-39.22,17.02,95.45,A
R0039,-32.43,397.11,98.34,B
R0040,92.73,77.22,64.72,A
R0041,,188.18,86.96,B
R0042,-9.53,288.35,13.43,B
R0043,-15.06,383.79,90.64,A
R0044,147.9,315.38,26.16,C
R0045,5.39,33.53,100.87,D
R0046,149.75,68.19,101.88,B
R0047,7.23,256.45,89.92,A
R0048,54.54,498.63,62.27,C
R0049,71.89,18.67,32.5,B
R0050,118.74,256.1,99.58,B
R0051,65.3,62.9,58.29,C
R0052,-38.46,409.63,73.61,C
R0053,166.98,13.31,43.57,A
R0054,70.12,186.11,72.11,C
R0055,134.36,286.11,0.91,A
R0056,102.27,180.24,97.43,D
R0057,22.04,163.3,40.05,D
R0058,57.63,421.73,55.32,B
R0059,190.25,423.29,105.25,B
R0060,188.07,149.93,96.08,A
R0061,148.91,407.93,95.57,C
R0062,119.42,364.49,-0.08,B
R0063,102.45,359.68,97.74,B
R0064,97.79,59.03,106.68,D
R0065,-39.54,291.89,90.69,C
R0066,143.92,73.15,86.04,D
R0067,18.07,104.06,39.75,C
R0068,102.64,387.03,18.13,D
R0069,33.67,47.61,108.95,C
R0070,30.97,162.35,,B
R0071,-24.86,97.84,35.04,C
R0072,185.77,354.45,95.95,B
R0073,161.68,156.7,101.12,D
R0074,154.5,334.73,24.86,C
R0075,79.44,499.33,-3.52,C
R0076,132.67,101.4,104.99,C
R0077,196.19,71.96,38.76,A
R0078,43.21,286.75,25.94,B
R0079,59.06,174.92,-1.53,A
R0080,,122.8,21.18,D
