sku_id,last_updated,unit_price,stock_qty,supplier_email,warehouse_id,fill_rate
SKU-000001,2024-10-22,123.93,229,vkrzwhrb@corp.io,WH01,32.46
SKU-000002,2024-01-09,249.34,701,tzwlz@yahoo.com,WH03,72.38
SKU-000003,2024-11-27,41.99,684,ekajklgu@outlook.com,WH05,43.92
SKU-000004,2024-10-08,127.26,745,mjwex@gmail.com,WH05,97.57
SKU-000005,2024-01-24,309.97,799,srrd@gmail.com,WH05,28.54
SKU-000006,2024-09-12,233.33,996,ewklfv@outlook.com,WH01,82.41
SKU-000007,2024-06-14,234.85,913,xdpn@gmail.com,WH01,11.22
SKU-000008,2024-08-11,294.47,706,sbkz@gmail.com,WH03,63.24
SKU-000009,2024-07-09,75.29,54,xmpccba@yahoo.com,WH01,20.26
SKU-000010,2024-07-16,164.93,491,emblz@corp.io,WH05,9.09
SKU-000011,2024-03-29,450.16,715,cich@yahoo.com,WH05,92.76
SKU-000012,2024-12-14,324.97,986,rubtipm@yahoo.com,WH01,56.19
SKU-000013,2024-05-11,248.6,603,flusyeqt@gmail.com,WH03,90.96
SKU-000014,2024-08-04,278.03,845,tcblyvs@corp.io,WH04,49.5
SKU-000015,2024-08-29,222.09,762,jehitg@corp.io,WH01,85.25
SKU-000016,2024-03-12,369.92,712,anpyz@outlook.com,WH02,49.29
SKU-000017,2024-06-17,149.44,243,izdjjf@outlook.com,WH05,47.56
SKU-000018,2024-06-26,340.14,361,qwjpaono@corp.io,WH01,55.53
SKU-000019,2024-07-04,132.62,79,ehnl@yahoo.com,WH01,62.24
SKU-000020,2024-07-16,468.03,155,thzaolnf@outlook.com,WH03,63.71
SKU-000021,2024-01-23,277.93,283,fjtxhox@gmail.com,WH04,15.71
SKU-000022,2024-10-17,487.25,524,adtuhi@corp.io,WH02,94.6
SKU-000023,2024-05-15,97.85,594,yibfpj@yahoo.com,WH01,21.8
SKU-000024,2024-05-22,432.86,159,ghdtp@outlook.com,WH01,73.57
SKU-000025,2024-12-07,425.17,650,pgshn@corp.io,WH04,61.24
SKU-000026,2024-05-21,429.17,922,ipxc@gmail.com,WH02,18.74
SKU-000027,2024-01-31,14.11,52,rjibcnk@outlook.com,WH04,59.16
SKU-000028,2024-04-11,385.31,816,kxzene@yahoo.com,WH01,70.6
SKU-000029,2024-04-03,230.56,622,djhma@outlook.com,WH03,96.01
SKU-000030,2024-08-28,240.43,606,bhch@yahoo.com,WH04,77.02
SKU-000031,2024-01-18,405.09,837,xcah@outlook.com,WH04,85.92
SKU-000032,2024-09-27,86.24,797,lgpd@outlook.com,WH01,15.37
SKU-000033,2024-07-20,1.08,201,zriufx@gmail.com,WH01,55.18
SKU-000034,2024-01-01,346.06,796,nynpnvg@yahoo.com,WH03,29.47
SKU-000035,2024-07-06,76.17,856,tggtvcs@corp.io,WH04,88.0
SKU-000036,2024-02-24,384.12,963,orza@yahoo.com,WH05,15.04
SKU-000037,2024-08-14,499.23,619,dgqtr@yahoo.com,WH05,69.76
SKU-000038,2024-08-15,258.02,761,mjyp@corp.io,WH04,54.52
SKU-000039,2024-11-12,324.5,530,ihqvho@gmail.com,WH03,63.86
SKU-000040,2024-01-17,214.01,896,eqatl@yahoo.com,WH02,76.46
SKU-000041,2024-09-07,39.95,839,jhbmmlxx@outlook.com,WH01,58.38
SKU-000042,2024-01-04,147.39,909,pxrpj@gmail.com,WH01,30.18
SKU-000043,2024-08-24,83.28,36,bclbk@gmail.com,WH02,62.15
SKU-000044,2024-05-30,34.72,567,bgbaurc@outlook.com,WH05,52.92
SKU-000045,2024-02-11,125.27,833,nthpeqa@gmail.com,WH01,97.76
SKU-000046,2024-05-28,180.37,588,rgafkpk@yahoo.com,WH05,21.47
SKU-000047,2024-02-02,441.16,632,llnadlu@yahoo.com,WH04,30.07
SKU-000048,2024-10-25,272.06,485,hsouf@gmail.com,WH01,52.25
SKU-000049,2024-05-25,56.06,837,zuqt@gmail.com,WH03,38.94
SKU-000050,2024-04-24,354.6,575,kxbm@outlook.com,WH02,2.17
SKU-000051,2024-07-23,36.07,777,cyshnl@gmail.com,WH01,34.55
SKU-000052,2024-04-23,174.67,239,iozkfyq@yahoo.com,WH01,66.28
SKU-000053,2024-05-16,232.14,165,sjaud@gmail.com,WH03,17.59
SKU-000054,2024-05-16,493.22,767,ihrwkqhe@gmail.com,WH05,56.73
SKU-000055,2024-04-03,361.75,472,tcjr@corp.io,WH01,42.81
SKU-000056,2024-09-28,95.5,244,ikhrt@gmail.com,WH03,26.94
SKU-000057,2024-02-29,338.88,936,adup@corp.io,WH04,40.81
SKU-000058,2024-06-11,106.71,555,qdbi@corp.io,WH05,83.12
SKU-000059,2024-01-21,211.03,178,ukaeecm@gmail.com,WH02,42.06
SKU-000060,2024-08-18,104.77,631,mbbibt@gmail.com,WH01,91.11
SKU-000061,2024-09-22,297.87,284,inut@outlook.com,WH04,48.27
SKU-000062,2024-12-30,27.07,279,wdhytt@gmail.com,WH02,12.33
SKU-000063,2024-03-25,142.2,618,dlcr@outlook.com,WH03,76.58
SKU-000064,2024-01-30,308.5,119,ygobu@outlook.com,WH01,15.54
SKU-000065,2024-03-31,284.36,426,uxmx@gmail.com,WH04,63.68
SKU-000066,2024-12-11,112.72,887,qmqulzc@outlook.com,WH04,38.87
SKU-000067,2024-11-13,203.52,182,oydsui@gmail.com,WH03,55.31
SKU-000068,2024-09-30,297.49,293,vdfttbj@outlook.com,WH01,43.35
SKU-000069,2024-09-20,339.21,270,fkvqpxx@corp.io,WH02,75.24
SKU-000070,2024-01-14,246.88,414,rtxtdp@corp.io,WH04,11.6
SKU-000071,2024-04-14,350.9,799,drrpwnku@gmail.com,WH05,79.06
SKU-000072,2024-11-20,21.47,475,frbfioed@corp.io,WH03,13.73
SKU-000073,2024-07-21,259.83,588,heln@corp.io,WH04,60.14
SKU-000074,2024-01-01,136.47,701,mpnhwv@outlook.com,WH01,24.91
SKU-000075,2024-10-11,235.25,687,nbqrelmk@yahoo.com,WH02,2.49
SKU-000076,2024-05-08,310.13,639,bghy@gmail.com,WH04,36.26
SKU-000077,2024-11-12,107.76,614,dmcgjg@yahoo.com,WH03,19.15
SKU-000078,2024-08-24,226.4,574,hwwk@outlook.com,WH04,19.84
SKU-000079,2024-02-04,290.57,567,incb@gmail.com,WH04,44.34
SKU-000080,2024-04-16,466.39,445,xusm@gmail.com,WH05,64.3
SKU-000081,2024-07-20,245.55,671,xewmh@corp.io,WH02,96.98
SKU-000082,2024-06-27,487.45,12,imvsrj@gmail.com,WH03,77.67
SKU-000083,2024-02-12,425.83,735,ynnegevq@yahoo.com,WH04,14.73
SKU-000084,2024-07-07,234.97,748,dttvia@yahoo.com,WH02,10.74
SKU-000085,2024-06-24,152.26,643,dgkan@gmail.com,WH03,58.86
SKU-000086,2024-03-09,317.65,792,ofhfgnhb@corp.io,WH05,60.13
SKU-000087,2024-02-14,69.07,469,vxyiy@corp.io,WH01,32.28
SKU-000088,2024-10-04,17.25,833,ojjujg@outlook.com,WH05,92.84
SKU-000089,2024-08-06,247.52,420,twujfb@outlook.com,WH01,96.02
SKU-000090,2024-10-15,345.4,1,uhqf@yahoo.com,WH02,53.25
SKU-000091,2024-12-10,176.07,640,kpoo@yahoo.com,WH03,66.45
SKU-000092,2024-03-22,93.45,388,jxymvlgv@gmail.com,WH01,58.78
SKU-000093,2024-04-12,323.1,717,vzufpid@corp.io,WH01,17.33
SKU-000094,2024-10-27,175.04,247,njhh@outlook.com,WH02,30.05
SKU-000095,2024-06-05,180.48,805,tbwcrx@corp.io,WH05,86.25
SKU-000096,2024-12-29,105.19,648,hmmxj@gmail.com,WH01,40.29
SKU-000097,2024-01-29,441.92,749,nfazqo@corp.io,WH03,56.03
SKU-000098,2024-04-06,134.11,710,vcwl@gmail.com,WH03,92.54
SKU-000099,2024-04-20,291.4,884,wazkmey@corp.io,WH05,8.05
SKU-000100,2024-09-07,344.7,610,oufxs@yahoo.com,WH05,47.78
SKU-000101,2024-09-17,304.65,717,takj@corp.io,WH04,2.8
SKU-000102,2024-04-09,391.33,125,qzdtaj@yahoo.com,WH05,77.59
SKU-000103,2024-02-17,15.63,661,kfypp@gmail.com,WH02,93.77
SKU-000104,2024-05-30,182.45,566,wfulaqjk@yahoo.com,WH05,13.16
SKU-000105,2024-10-07,164.03,781,marjaxt@corp.io,WH03,18.27
SKU-000106,2024-02-05,159.64,420,aogbx@yahoo.com,WH04,16.08
SKU-000107,2024-01-06,333.89,296,ririzusz@corp.io,WH05,33.8
SKU-000108,2024-10-13,492.76,575,mfzawks@outlook.com,WH05,76.21
SKU-000109,2024-07-21,35.66,462,evhyv@corp.io,WH02,29.21
SKU-000110,2024-01-17,211.52,119,jyya@corp.io,WH05,46.03
SKU-000111,2024-07-29,52.32,535,qahgh@yahoo.com,WH01,13.17
SKU-000112,2024-10-23,367.62,10,apmaia@gmail.com,WH03,1.29
SKU-000113,2024-11-30,297.88,407,usuftidc@gmail.com,WH04,36.83
SKU-000114,2024-02-03,22.78,101,rxquohko@corp.io,WH01,42.41
SKU-000115,2024-01-12,168.64,854,ofjbpx@outlook.com,WH04,76.02
SKU-000116,2024-01-20,75.43,968,ubdzga@corp.io,WH02,62.45
SKU-000117,2024-07-06,321.23,179,tzyrtv@corp.io,WH04,62.94
SKU-000118,2024-08-22,51.98,491,kagcrpe@yahoo.com,WH05,74.21
