timestamp,location,sensor,value
2023-12-31T19:52:00.000Z,zone-a,temperature,15.8
2023-12-31T23:10:00.000Z,zone-c,temperature,23
2024-01-01T01:56:00.000Z,zone-d,temperature,27.7
2024-01-01T03:49:00.000Z,zone-a,humidity,43.8
2024-01-01T05:11:00.000Z,zone-b,pressure,990.2
2024-01-01T05:15:00.000Z,zone-c,humidity,76.7
2024-01-01T06:10:00.000Z,zone-a,pressure,1016.8
2024-01-01T07:16:00.000Z,zone-d,humidity,30.8
2024-01-01T07:35:00.000Z,zone-d,light,354.9
2024-01-01T10:58:00.000Z,zone-a,light,533.1
2024-01-01T12:58:00.000Z,zone-c,light,455.1
2024-01-01T13:00:00.000Z,zone-b,temperature,22.3
2024-01-01T13:05:00.000Z,zone-c,pressure,1006.8
2024-01-01T13:25:00.000Z,zone-b,light,777.4
2024-01-01T14:47:00.000Z,zone-b,humidity,71.6
2024-01-01T18:13:00.000Z,zone-d,pressure,1007.1
2024-01-01T19:52:00.000Z,zone-d,temperature,25.9
2024-01-01T23:44:00.000Z,zone-b,temperature,34.2
2024-01-02T00:26:00.000Z,zone-c,humidity,74.6
2024-01-02T01:16:00.000Z,zone-c,pressure,1003.9
2024-01-02T04:04:00.000Z,zone-c,light,300.3
2024-01-02T04:11:00.000Z,zone-d,light,653.9
2024-01-02T05:43:00.000Z,zone-a,humidity,72.8
2024-01-02T07:07:00.000Z,zone-d,pressure,994.2
2024-01-02T08:35:00.000Z,zone-d,humidity,76.7
2024-01-02T11:19:00.000Z,zone-b,pressure,1013.9
2024-01-02T11:46:00.000Z,zone-c,temperature,16.9
2024-01-02T12:22:00.000Z,zone-a,light,606.4
2024-01-02T13:15:00.000Z,zone-b,humidity,33.8
2024-01-02T14:25:00.000Z,zone-a,temperature,33
2024-01-02T14:28:00.000Z,zone-b,light,422.8
2024-01-02T16:09:00.000Z,zone-a,pressure,998.3
2024-01-02T18:45:00.000Z,zone-c,pressure,1009
2024-01-02T21:11:00.000Z,zone-d,light,476.9
2024-01-02T22:24:00.000Z,zone-a,light,404.9
2024-01-03T00:39:00.000Z,zone-b,light,813.3
2024-01-03T01:39:00.000Z,zone-d,pressure,1017.7
2024-01-03T02:01:00.000Z,zone-b,humidity,38.3
2024-01-03T03:19:00.000Z,zone-c,temperature,34.9
2024-01-03T06:50:00.000Z,zone-c,humidity,31.9
2024-01-03T07:12:00.000Z,zone-d,temperature,33.7
2024-01-03T07:15:00.000Z,zone-a,pressure,1016.3
2024-01-03T10:00:00.000Z,zone-c,light,266.2
2024-01-03T11:00:00.000Z,zone-a,humidity,50
2024-01-03T11:18:00.000Z,zone-b,temperature,22.7
2024-01-03T13:30:00.000Z,zone-d,humidity,54.2
2024-01-03T15:45:00.000Z,zone-b,pressure,1003.8
2024-01-03T17:25:00.000Z,zone-a,temperature,19.1
2024-01-03T19:12:00.000Z,zone-c,humidity,76.9
2024-01-03T20:51:00.000Z,zone-d,pressure,1010.2
2024-01-03T21:44:00.000Z,zone-a,light,554
2024-01-04T00:18:00.000Z,zone-c,temperature,24.2
2024-01-04T02:05:00.000Z,zone-c,light,421.2
2024-01-04T02:50:00.000Z,zone-a,temperature,29.2
2024-01-04T03:29:00.000Z,zone-a,humidity,79
2024-01-04T07:18:00.000Z,zone-d,humidity,36.9
2024-01-04T07:23:00.000Z,zone-d,light,514.4
2024-01-04T07:34:00.000Z,zone-b,humidity,35.9
2024-01-04T09:37:00.000Z,zone-b,light,247.6
2024-01-04T10:09:00.000Z,zone-d,temperature,30.9
2024-01-04T13:14:00.000Z,zone-b,pressure,991.2
2024-01-04T13:32:00.000Z,zone-a,pressure,998.2
2024-01-04T13:47:00.000Z,zone-c,pressure,994.5
2024-01-04T18:23:00.000Z,zone-b,temperature,16
2024-01-04T18:39:00.000Z,zone-c,pressure,1013
2024-01-04T19:13:00.000Z,zone-a,pressure,1011.1
2024-01-04T19:27:00.000Z,zone-d,pressure,1018.8
2024-01-04T19:30:00.000Z,zone-b,temperature,28.7
2024-01-04T22:03:00.000Z,zone-b,pressure,1020
2024-01-05T00:14:00.000Z,zone-b,humidity,47.8
2024-01-05T02:18:00.000Z,zone-a,light,697.9
2024-01-05T07:12:00.000Z,zone-c,light,136.2
2024-01-05T09:52:00.000Z,zone-d,light,455
2024-01-05T10:13:00.000Z,zone-a,humidity,65.7
2024-01-05T12:51:00.000Z,zone-b,light,373.3
2024-01-05T15:14:00.000Z,zone-c,humidity,78.9
2024-01-05T15:44:00.000Z,zone-a,temperature,33.6
2024-01-05T17:04:00.000Z,zone-d,temperature,26.5
2024-01-05T17:07:00.000Z,zone-d,humidity,77.5
2024-01-05T17:58:00.000Z,zone-c,temperature,23.8
2024-01-05T20:29:00.000Z,zone-b,temperature,34.3
2024-01-05T21:40:00.000Z,zone-b,humidity,60
2024-01-06T01:02:00.000Z,zone-d,humidity,63.5
2024-01-06T01:15:00.000Z,zone-a,light,458.9
2024-01-06T02:52:00.000Z,zone-c,humidity,48.8
2024-01-06T04:36:00.000Z,zone-a,temperature,22
2024-01-06T07:13:00.000Z,zone-d,pressure,994.5
2024-01-06T07:16:00.000Z,zone-d,temperature,20.6
2024-01-06T07:50:00.000Z,zone-a,pressure,1010.4
2024-01-06T08:07:00.000Z,zone-d,light,521.9
2024-01-06T08:22:00.000Z,zone-c,light,602.1
2024-01-06T10:22:00.000Z,zone-c,pressure,1011
2024-01-06T10:50:00.000Z,zone-a,humidity,51.3
2024-01-06T10:56:00.000Z,zone-b,light,568.7
2024-01-06T15:38:00.000Z,zone-c,temperature,30.2
2024-01-06T15:44:00.000Z,zone-b,pressure,999.1
2024-01-06T19:07:00.000Z,zone-b,humidity,63.8
2024-01-06T19:38:00.000Z,zone-a,pressure,993.5
2024-01-06T20:19:00.000Z,zone-a,temperature,33.6
2024-01-06T20:27:00.000Z,zone-c,humidity,48.4
2024-01-06T20:45:00.000Z,zone-d,temperature,24.8
2024-01-06T23:16:00.000Z,zone-d,light,401
2024-01-07T00:04:00.000Z,zone-b,temperature,24
2024-01-07T00:54:00.000Z,zone-a,light,136.7
2024-01-07T01:17:00.000Z,zone-b,pressure,1015.1
2024-01-07T03:09:00.000Z,zone-c,temperature,19.7
2024-01-07T10:04:00.000Z,zone-c,pressure,1017.3
2024-01-07T10:18:00.000Z,zone-d,humidity,30.9
2024-01-07T13:27:00.000Z,zone-c,light,513.5
2024-01-07T14:57:00.000Z,zone-a,humidity,45.1
2024-01-07T15:16:00.000Z,zone-d,pressure,1009.5
2024-01-07T15:18:00.000Z,zone-b,light,877.2
2024-01-07T21:52:00.000Z,zone-a,humidity,68.4
2024-01-07T22:51:00.000Z,zone-d,humidity,34.7
2024-01-07T23:09:00.000Z,zone-b,temperature,20
2024-01-07T23:44:00.000Z,zone-c,humidity,55.7
2024-01-08T01:12:00.000Z,zone-b,humidity,36.2
2024-01-08T04:16:00.000Z,zone-d,light,315.2
2024-01-08T04:48:00.000Z,zone-c,pressure,991.4
2024-01-08T05:30:00.000Z,zone-a,temperature,26.4
2024-01-08T05:55:00.000Z,zone-c,temperature,32.2
2024-01-08T10:10:00.000Z,zone-c,light,763.4
2024-01-08T12:11:00.000Z,zone-a,light,496.9
2024-01-08T12:36:00.000Z,zone-d,pressure,1016.3
2024-01-08T13:06:00.000Z,zone-d,temperature,26.7
2024-01-08T13:08:00.000Z,zone-a,pressure,991.1
2024-01-08T13:38:00.000Z,zone-b,light,174.1
2024-01-08T14:46:00.000Z,zone-b,pressure,1017.1
2024-01-08T18:58:00.000Z,zone-c,temperature,34.1
2024-01-08T20:17:00.000Z,zone-a,pressure,1010.6
2024-01-09T00:43:00.000Z,zone-d,light,620.4
2024-01-09T01:41:00.000Z,zone-b,light,639.6
2024-01-09T02:05:00.000Z,zone-a,temperature,19.6
2024-01-09T02:59:00.000Z,zone-b,pressure,1000.7
2024-01-09T05:35:00.000Z,zone-c,light,124.8
2024-01-09T06:57:00.000Z,zone-c,pressure,1012.9
2024-01-09T07:33:00.000Z,zone-a,humidity,67.9
2024-01-09T08:19:00.000Z,zone-a,light,715.7
2024-01-09T08:45:00.000Z,zone-d,temperature,27.2
2024-01-09T10:59:00.000Z,zone-b,temperature,27.3
2024-01-09T14:23:00.000Z,zone-b,humidity,59.4
2024-01-09T15:25:00.000Z,zone-d,pressure,1003.5
2024-01-09T17:22:00.000Z,zone-c,humidity,35.6
2024-01-09T17:45:00.000Z,zone-d,humidity,37.4
2024-01-09T18:58:00.000Z,zone-c,humidity,47.2
2024-01-10T01:01:00.000Z,zone-d,light,233.7
2024-01-10T01:13:00.000Z,zone-a,humidity,57.3
2024-01-10T02:34:00.000Z,zone-d,temperature,30.6
2024-01-10T05:44:00.000Z,zone-c,temperature,16.4
2024-01-10T07:47:00.000Z,zone-b,pressure,999.9
2024-01-10T08:51:00.000Z,zone-d,humidity,47.2
2024-01-10T09:05:00.000Z,zone-a,temperature,27.8
2024-01-10T09:16:00.000Z,zone-c,pressure,991.7
2024-01-10T09:51:00.000Z,zone-b,light,341.3
2024-01-10T11:52:00.000Z,zone-c,light,367.3
2024-01-10T12:56:00.000Z,zone-b,temperature,31.2
2024-01-10T14:57:00.000Z,zone-b,humidity,57.1
2024-01-10T16:48:00.000Z,zone-a,light,470.2
2024-01-10T17:21:00.000Z,zone-a,pressure,1003.4
2024-01-10T17:56:00.000Z,zone-d,pressure,1017.6
2024-01-10T18:38:00.000Z,zone-d,temperature,30.6
2024-01-10T18:47:00.000Z,zone-b,light,880.2
2024-01-10T19:29:00.000Z,zone-b,humidity,35.2
2024-01-10T20:01:00.000Z,zone-d,humidity,67.6
2024-01-10T23:30:00.000Z,zone-a,temperature,22
